3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,1, CPM,31, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,1, CPM,31, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:27, CPS,2, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,1, CPM,31, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,1, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,30, uSv/hr,0.17, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,29, uSv/hr,0.16, SLOW
3/5/2019 14:27, CPS,0, CPM,28, uSv/hr,0.15, SLOW
3/5/2019 14:27, CPS,0, CPM,28, uSv/hr,0.15, SLOW
3/5/2019 14:27, CPS,0, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:27, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:27, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:27, CPS,1, CPM,27, uSv/hr,0.15, SLOW
3/5/2019 14:27, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:27, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:27, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:27, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:27, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:27, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:28, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:28, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:28, CPS,0, CPM,20, uSv/hr,0.11, SLOW
3/5/2019 14:28, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,2, CPM,21, uSv/hr,0.11, SLOW
3/5/2019 14:28, CPS,0, CPM,21, uSv/hr,0.11, SLOW
3/5/2019 14:28, CPS,1, CPM,20, uSv/hr,0.11, SLOW
3/5/2019 14:28, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,1, CPM,20, uSv/hr,0.11, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,1, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,17, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,17, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,2, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,17, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,1, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,17, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,1, CPM,17, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,17, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,1, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,15, uSv/hr,0.08, SLOW
3/5/2019 14:28, CPS,0, CPM,14, uSv/hr,0.07, SLOW
3/5/2019 14:28, CPS,1, CPM,15, uSv/hr,0.08, SLOW
3/5/2019 14:28, CPS,0, CPM,15, uSv/hr,0.08, SLOW
3/5/2019 14:28, CPS,0, CPM,15, uSv/hr,0.08, SLOW
3/5/2019 14:28, CPS,0, CPM,14, uSv/hr,0.07, SLOW
3/5/2019 14:28, CPS,2, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,15, uSv/hr,0.08, SLOW
3/5/2019 14:28, CPS,0, CPM,14, uSv/hr,0.07, SLOW
3/5/2019 14:28, CPS,2, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,1, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,0, CPM,16, uSv/hr,0.09, SLOW
3/5/2019 14:28, CPS,2, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,18, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,1, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:28, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:29, CPS,1, CPM,20, uSv/hr,0.11, SLOW
3/5/2019 14:29, CPS,0, CPM,20, uSv/hr,0.11, SLOW
